system:index,model,pr,scenario,year,.geo
0,ACCESS-CM2,0.0,ssp245,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,ACCESS-CM2,-0.05628992061817231,ssp245,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,ACCESS-CM2,0.7647025833512234,ssp245,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,ACCESS-CM2,0.47622660474734224,ssp245,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,ACCESS-CM2,2.8529483894118606,ssp245,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,ACCESS-CM2,-0.4932339531831812,ssp245,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,ACCESS-CM2,-0.1682898867872174,ssp245,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,ACCESS-CM2,2.810252917765109,ssp245,2027,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,ACCESS-CM2,-1.4521040793059716,ssp245,2028,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,ACCESS-CM2,2.0959970135939128,ssp245,2029,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,ACCESS-CM2,-0.0400294025584428,ssp245,2030,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,ACCESS-CM2,1.163415757462468,ssp245,2031,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,ACCESS-CM2,0.6040069077531368,ssp245,2032,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,ACCESS-CM2,0.12605341621986396,ssp245,2033,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,ACCESS-CM2,0.17348209745926135,ssp245,2034,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,ACCESS-CM2,0.6387681246637753,ssp245,2035,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,ACCESS-CM2,2.4541447883522407,ssp245,2036,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,ACCESS-CM2,1.8706600878179234,ssp245,2037,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,ACCESS-CM2,1.1594693028276115,ssp245,2038,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,ACCESS-CM2,0.39735301452374777,ssp245,2039,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,ACCESS-CM2,0.5357135489730365,ssp245,2040,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,ACCESS-CM2,0.6022041360433809,ssp245,2041,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,ACCESS-CM2,-0.11714599506807258,ssp245,2042,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,ACCESS-CM2,0.9264168045259935,ssp245,2043,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,ACCESS-CM2,0.7984539326147938,ssp245,2044,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,ACCESS-CM2,0.8164110710573671,ssp245,2045,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,ACCESS-CM2,1.58475324306126,ssp245,2046,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,ACCESS-CM2,3.0870286012789503,ssp245,2047,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,ACCESS-CM2,0.704005719449873,ssp245,2048,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,ACCESS-CM2,0.13821773427369305,ssp245,2049,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,ACCESS-CM2,0.8470279165003068,ssp245,2050,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,ACCESS-CM2,4.41636036112859,ssp245,2051,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,ACCESS-CM2,0.6467486142590063,ssp245,2052,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,ACCESS-CM2,3.6518012079170745,ssp245,2053,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,ACCESS-CM2,0.7641406887288188,ssp245,2054,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,ACCESS-CM2,1.1829555486178778,ssp245,2055,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,ACCESS-CM2,2.9770234396038044,ssp245,2056,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,ACCESS-CM2,1.1586402753962963,ssp245,2057,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,ACCESS-CM2,1.7818182265185591,ssp245,2058,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,ACCESS-CM2,2.116458164877848,ssp245,2059,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,ACCESS-CM2,1.1734827973549795,ssp245,2060,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,ACCESS-CM2,0.4422206876943189,ssp245,2061,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,ACCESS-CM2,1.6155493086392572,ssp245,2062,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,ACCESS-CM2,1.8380335332045037,ssp245,2063,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,ACCESS-CM2,3.727376256513529,ssp245,2064,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,ACCESS-CM2,0.037039423041052864,ssp245,2065,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,ACCESS-CM2,1.4124971401822224,ssp245,2066,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,ACCESS-CM2,0.7168928896877077,ssp245,2067,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,ACCESS-CM2,0.1340761724755793,ssp245,2068,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,ACCESS-CM2,1.3159944959315426,ssp245,2069,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,ACCESS-CM2,2.9243577679254957,ssp245,2070,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,ACCESS-CM2,-0.19929771296653584,ssp245,2071,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,ACCESS-CM2,-0.4213596859139501,ssp245,2072,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,ACCESS-CM2,-0.25923492170161727,ssp245,2073,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,ACCESS-CM2,-0.11862907841711672,ssp245,2074,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,ACCESS-CM2,2.044711001139471,ssp245,2075,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,ACCESS-CM2,1.693337419304039,ssp245,2076,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,ACCESS-CM2,1.6005050422122094,ssp245,2077,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,ACCESS-CM2,0.20110416036377485,ssp245,2078,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,ACCESS-CM2,1.0107434838050497,ssp245,2079,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,ACCESS-CM2,-0.7091349107976264,ssp245,2080,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,ACCESS-CM2,2.2296420686306067,ssp245,2081,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,ACCESS-CM2,2.175041525644344,ssp245,2082,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,ACCESS-CM2,0.674082761768951,ssp245,2083,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,ACCESS-CM2,0.11903215422580428,ssp245,2084,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,ACCESS-CM2,-0.21723914906688066,ssp245,2085,"{""type"":""MultiPoint"",""coordinates"":[]}"
