system:index,model,pr,scenario,year,.geo
0,ACCESS-CM2,6.2974752689321605,ssp245,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,ACCESS-CM2,6.241185348313986,ssp245,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,ACCESS-CM2,7.062177852283385,ssp245,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,ACCESS-CM2,6.773701873679499,ssp245,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,ACCESS-CM2,9.150423658344021,ssp245,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,ACCESS-CM2,5.804241315748978,ssp245,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,ACCESS-CM2,6.129185382144938,ssp245,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,ACCESS-CM2,9.107728186697265,ssp245,2027,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,ACCESS-CM2,4.845371189626189,ssp245,2028,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,ACCESS-CM2,8.393472282526073,ssp245,2029,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,ACCESS-CM2,6.257445866373715,ssp245,2030,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,ACCESS-CM2,7.4608910263946315,ssp245,2031,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,ACCESS-CM2,6.901482176685299,ssp245,2032,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,ACCESS-CM2,6.423528685152019,ssp245,2033,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,ACCESS-CM2,6.470957366391422,ssp245,2034,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,ACCESS-CM2,6.936243393595933,ssp245,2035,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,ACCESS-CM2,8.751620057284393,ssp245,2036,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,ACCESS-CM2,8.168135356750085,ssp245,2037,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,ACCESS-CM2,7.456944571759774,ssp245,2038,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,ACCESS-CM2,6.69482828345591,ssp245,2039,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,ACCESS-CM2,6.833188817905193,ssp245,2040,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,ACCESS-CM2,6.89967940497554,ssp245,2041,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,ACCESS-CM2,6.180329273864084,ssp245,2042,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,ACCESS-CM2,7.223892073458153,ssp245,2043,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,ACCESS-CM2,7.095929201546955,ssp245,2044,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,ACCESS-CM2,7.113886339989525,ssp245,2045,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,ACCESS-CM2,7.8822285119934214,ssp245,2046,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,ACCESS-CM2,9.384503870211114,ssp245,2047,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,ACCESS-CM2,7.001480988382033,ssp245,2048,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,ACCESS-CM2,6.435693003205853,ssp245,2049,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,ACCESS-CM2,7.144503185432467,ssp245,2050,"{""type"":""MultiPoint"",""coordinates"":[]}"
